RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2651561	-3660090	64.483333	-21.8	642900	-214800	27WVM6154851117	NQ27-13	T	MT		IC	07					N				RAUDHAHNUKAFJALL	Rauðahnúkafjall	Raudhahnukafjall	1994-01-14
1	-2648986	-3657248	64.9	-20.35	645400	-202100	27WWM3076697468	NQ27-14	H	LK		IC	00					N				KROKAVATN	Krókavatn	Krokavatn	1994-01-14
1	-2648981	-3657243	64.983333	-18.9	645900	-185400	27WWN9907608243	NQ27-14	T	MT		IC	00					N				KROKARFELL	Krókarfell	Krokarfell	1994-01-14
1	-2647315	-3655400	65.666667	-19.5	654000	-193000	27WWN6896283579	NQ27-10	S	FRM		IC	28					N				HROARSDALUR	Hróarsdalur	Hroarsdalur	1994-01-14
1	-2651913	-3660504	65.283333	-21.866667	651700	-215200	27WVN5956540310	NQ27-10	S	FRM		IC	08					N				SAELINGSDALUR	Sælingsdalur	Saelingsdalur	1994-01-14
1	-2653376	-3662126	65.766667	-22.183333	654600	-221100	27WVN4580594413	NQ27-09	T	HLL		IC	19					N				SOTAVORDHUHAEDH	Sótavörðuhæð	Sotavordhuhaedh	1994-01-14
1	-2653369	-3662119	65.283333	-13.9	651700	-135400	28WET5132040480	NQ27-12	S	FRM		IC	20					N				SORLASTADHIR	Sörlastaðir	Sorlastadhir	1994-01-14
1	-2656001	-3665018	63.633333	-20.2	633800	-201200	27VWL3964156404	NP27-02	P	PPL		IC	23					N				VOMULASTADHAHVERFI	Vomúlastaðahverfi	Vomulastadhahverfi	1994-01-14
1	-2654246	-3663088	65.216667	-19.983333	651300	-195900	27WWN4755232985	NQ27-10	T	HLL		IC	00					N				SVINAVATNSHAEDHIR	Svínavatnshæðir	Svinavatnshaedhir	1994-01-14
1	-2654235	-3663077	66	-18.25	660000	-181500	27WXP2478122646	NQ27-06	S	FRM		IC	32					N				SVINARNES	Svínárnes	Svinarnes	1994-01-14
1	-2651325	-3659818	64.033333	-16.65	640200	-163900	28WDS1939801772	NQ27-15	H	CAPG		IC	06					V				ORAEJOKULL	Oraejökull	Oraejokull	1998-04-03
1	-2651325	-3659810	64.033333	-16.65	640200	-163900	28WDS1939801772	NQ27-15	H	CAPG		IC	06					V				ORAEFAGLACIER	Oraefa Glacier	Oraefa Glacier	1998-04-03
1	-2648223	-3656421	63.7	-19.6	634200	-193600	27VWL6920664343	NP27-02	T	SLP		IC	23					N				KANASTADHIR	Kanastaðir	Kanastadhir	1994-01-14
1	-2648747	-3656983	66.466667	-22.95	662800	-225700	27WVP1312873283	NQ27-05	T	PT		IC	19					N				KOGURNES	Kögurnes	Kogurnes	1994-01-14
1	-2647968	-3656137	64.95	-17.783333	645700	-174700	28WCT6853505776	NQ27-15	H	STM		IC	00					N				JOKULFALL	Jökulfall	Jokulfall	1994-01-14
1	-2648632	-3656860	65.616667	-16.15	653700	-160900	28WDT4702677668	NQ27-11	H	STM		IC	21					N				KLAUFASKURDHUR	Klaufaskurður	Klaufaskurdhur	1994-01-14
1	-2647014	-3655065	64.883333	-22.65	645300	-223900	27WVM2185996471	NQ27-13	T	LAVA		IC	29					N				HORGSHOLTSHRAUN	Hörgsholtshraun	Horgsholtshraun	1994-01-14
1	-2645343	-3653233	65.416667	-15.283333	652500	-151700	28WDT8684754922	NQ27-12	T	VAL		IC	20					N				GRUNNAVATNSDALUR	Grunnavatnsdalur	Grunnavatnsdalur	1994-01-14
1	-2644351	-3652142	64.283333	-21.416667	641700	-212500	27WVM7982728653	NQ27-13	S	FRM		IC	15					N				FREMRIHALS	Fremri Háls	Fremri Hals	1994-01-14
1	-2644177	-3651958	64.55	-14.733333	643300	-144400	28WES1278658331	NQ27-16	T	VAL		IC	31					N				FLUGUSTADHADALUR	Flugustaðadalur	Flugustadhadalur	1994-01-14
1	-2645686	-3653613	64.816667	-23.083333	644900	-230500	27WVM0109889650	NQ27-13	S	FRM		IC	29					N				HAGI	Hagi	Hagi	1994-01-14
1	-2647146	-3655217	63.916667	-21.333333	635500	-212000	27VVL8364787771	NP27-01	S	FRM		IC	03					N				HRAUN	Hraun	Hraun	1994-01-14
1	-2647141	-3655212	65.116667	-21.716667	650700	-214300	27WVN6635221648	NQ27-10	S	FRM		IC	08					N				HRAPPSTADHIR	Hrappstaðir	Hrappstadhir	1994-01-14
1	-2642207	-3649761	65	-22.966667	650000	-225800	27WVN0727009897	NQ27-09	P	PPL		IC	29					N				BJARNARHOFN	Bjarnarhöfn	Bjarnarhofn	1994-01-14
1	-2641961	-3649483	63.966667	-18.15	635800	-180900	27VXL3953096419	NP27-02	T	HLLS		IC	00					N				BARDHARHNUKAR	Bárðarhnúkar	Bardharhnukar	1994-01-14
1	-2642507	-3650093	63.916667	-20.1	635500	-200600	27VWL4415188040	NP27-02	T	LAVA		IC	23					N				BOTNAHRAUN	Botnahraun	Botnahraun	1994-01-14
1	-2643260	-3650928	65.816667	-16.183333	654900	-161100	28WDT4591099985	NQ27-11	T	VAL		IC	21					N				DRAUGADALUR	Draugadalur	Draugadalur	1994-01-14
1	-2643193	-3650859	65.266667	-22.6	651600	-223600	27WVN2530939122	NQ27-09	T	ISLS		IC	08					N				DJUPEYJAR	Djúpeyjar	Djupeyjar	1994-01-14
1	-2653364	-3662114	63.933333	-20.95	635600	-205700	27VWL0245189586	NP27-02	S	FRM		IC	03					N				SOLVI	Sölvi	Solvi	1994-01-14
1	-2651396	-3659890	65.6	-13.983333	653600	-135900	28WET4686375705	NQ27-12	S	FRM		IC	20					N				OSHOFN	Óshöfn	Oshofn	1994-01-14
1	-2651171	-3659638	64.666667	-19.9	644000	-195400	27WWM5251671762	NQ27-14	H	GLCR		IC	00					N				NYRDHRISKRIDHJOKULL	Nyrðri-Skriðjökull	Nyrdhri-Skridhjokull	1994-01-14
1	-2656136	-3665176	63.766667	-20.483333	634600	-202900	27VWL2548271117	NP27-02	H	STM		IC	23					N				YTRIRANGA	Ytri-Rangá	Ytri-Ranga	1994-01-14
1	-2655829	-3664833	65.716667	-16.916667	654300	-165500	28WDT1205689671	NQ27-11	T	PK		IC	32					V				VIDHIDALSHNJUKUR	Víðidalshnjúkur	Vidhidalshnjukur	1994-01-14
1	-2655824	-3664828	64.666667	-15.233333	644000	-151400	28WDS8886071327	NQ27-15	H	STMH		IC	06					N				VIDHIDALSDROG	Viðidalsdrög	Vidhidalsdrog	1994-01-14
1	-2649679	-3657993	65.166667	-21.566667	651000	-213400	27WVN7344527149	NQ27-10	T	VAL		IC	08					N				LAXARDALUR	Laxárdalur	Laxardalur	1994-01-14
1	-2645101	-3652964	64.183333	-18.2	641100	-181200	27WXM3602220436	NQ27-14	H	BOG		IC	00					N				GRASVER	Grasver	Grasver	1994-01-14
1	-2645435	-3653335	66.033333	-17.2	660200	-171200	28WDU0029625375	NQ27-07	T	MT		IC	32					V				GYDHUHNJUKUR	Gyðuhnjúkur	Gydhuhnjukur	1994-01-14
1	-2646882	-3654923	65.716667	-21.683333	654300	-214100	27WVN6864388500	NQ27-10	P	PPL		IC	30					N				HOLMAVIK	Hólmavík	Holmavik	1998-04-03
1	-2641692	-3649179	64.916667	-14.533333	645500	-143200	28WES2207599249	NQ27-16	T	SLP		IC	31					N				AURAR	Aurar	Aurar	1994-01-14
